filename|commit_id|MI|LOC|LLOC|SLOC|multi|blank|single_comments|halstead_volume|cyclomatic_complexity
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/scheduler_hints.py|nova-fffcaea176b785c9715a180f6a629708db16536c|81.2620705149|35|35|52|0|15|17|38.0391000173|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/security_groups.py|nova-fffcaea176b785c9715a180f6a629708db16536c|34.4261291217|409|380|443|6|139|28|313.993757598|36
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/server_diagnostics.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|38|37|54|0|13|16|0|2
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/server_password.py|nova-fffcaea176b785c9715a180f6a629708db16536c|81.5455839354|52|51|70|0|20|18|4.75488750216|3
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/server_start_stop.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|40|43|57|0|14|17|0|2
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/services.py|nova-fffcaea176b785c9715a180f6a629708db16536c|59.299516256|98|101|118|3|26|17|168.257422272|19
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/simple_tenant_usage.py|nova-fffcaea176b785c9715a180f6a629708db16536c|45.9531577609|192|170|217|0|50|25|619.057584711|28
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/used_limits.py|nova-fffcaea176b785c9715a180f6a629708db16536c|75.4616199102|52|46|67|0|17|15|41.5131794236|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/user_data.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|7|7|22|0|5|15|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/virtual_interfaces.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|54|56|75|2|22|19|0|2
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/volumes.py|nova-fffcaea176b785c9715a180f6a629708db16536c|37.2526276819|422|423|498|12|162|64|308.671829503|39
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/extensions.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|25|18|40|0|6|15|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/flavors.py|nova-fffcaea176b785c9715a180f6a629708db16536c|59.6683538465|95|100|119|0|30|24|187.48684196|14
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/image_metadata.py|nova-fffcaea176b785c9715a180f6a629708db16536c|66.0189755924|81|82|98|0|18|17|55.5065957721|9
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/images.py|nova-fffcaea176b785c9715a180f6a629708db16536c|66.2921322076|123|121|163|22|47|18|39.8631371386|14
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/ips.py|nova-fffcaea176b785c9715a180f6a629708db16536c|79.1828832369|60|61|76|0|25|16|4.75488750216|3
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/limits.py|nova-fffcaea176b785c9715a180f6a629708db16536c|51.3051681844|233|239|375|101|109|41|740.391000173|34
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/server_metadata.py|nova-fffcaea176b785c9715a180f6a629708db16536c|60.6777168158|123|117|142|0|38|19|27.0|18
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/servers.py|nova-fffcaea176b785c9715a180f6a629708db16536c|0.0|1071|1020|1185|23|231|91|2136.34152429|223
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/versions.py|nova-fffcaea176b785c9715a180f6a629708db16536c|54.265575014|170|137|190|0|53|20|128.37895002|10
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/views/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|0|0|0|0|0|0|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/views/addresses.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|20|23|39|0|10|19|0|3
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/views/flavors.py|nova-fffcaea176b785c9715a180f6a629708db16536c|89.8997626455|41|24|59|0|13|18|4.75488750216|4
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/views/images.py|nova-fffcaea176b785c9715a180f6a629708db16536c|68.4490698821|106|58|130|0|21|24|38.0391000173|7
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/views/limits.py|nova-fffcaea176b785c9715a180f6a629708db16536c|75.5056290665|61|40|83|4|17|18|83.3985000288|10
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/views/servers.py|nova-fffcaea176b785c9715a180f6a629708db16536c|54.0637730988|163|110|187|0|34|24|181.554952038|20
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/views/versions.py|nova-fffcaea176b785c9715a180f6a629708db16536c|79.9317126287|60|44|80|3|17|17|13.9315685693|4
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/extensions.py|nova-fffcaea176b785c9715a180f6a629708db16536c|49.16025834|239|246|317|24|93|54|470.611443949|30
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/urlmap.py|nova-fffcaea176b785c9715a180f6a629708db16536c|47.6126324655|173|180|234|23|63|38|1002.85209431|52
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/wsgi.py|nova-fffcaea176b785c9715a180f6a629708db16536c|19.0460149001|740|746|1005|137|270|128|1713.23002965|149
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/xmlutil.py|nova-fffcaea176b785c9715a180f6a629708db16536c|41.1476883346|325|375|669|224|238|120|1369.78219861|72
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/sizelimit.py|nova-fffcaea176b785c9715a180f6a629708db16536c|89.503950636|23|21|42|3|11|16|25.2661942985|3
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/validator.py|nova-fffcaea176b785c9715a180f6a629708db16536c|67.0815963971|70|73|104|12|38|22|286.51993511|13
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/availability_zones.py|nova-fffcaea176b785c9715a180f6a629708db16536c|75.2883517687|53|42|70|0|13|17|51.8914742796|13
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/block_device.py|nova-fffcaea176b785c9715a180f6a629708db16536c|61.7598602134|93|89|124|3|44|28|211.864553013|26
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cells/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|0|1|17|3|2|14|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cells/driver.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|7|12|34|10|7|17|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cells/manager.py|nova-fffcaea176b785c9715a180f6a629708db16536c|59.5960090581|197|188|293|59|40|37|109.807935569|20
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cells/messaging.py|nova-fffcaea176b785c9715a180f6a629708db16536c|30.1015577856|726|660|1067|226|158|115|1207.17167635|97
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cells/opts.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|22|4|39|3|5|14|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cells/rpc_driver.py|nova-fffcaea176b785c9715a180f6a629708db16536c|78.6316929873|76|77|139|46|26|17|13.9315685693|6
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cells/rpcapi.py|nova-fffcaea176b785c9715a180f6a629708db16536c|68.1644031054|133|97|192|30|28|29|50.7188000231|9
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cells/scheduler.py|nova-fffcaea176b785c9715a180f6a629708db16536c|69.3875349266|93|76|120|6|16|21|46.6045125094|12
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cells/state.py|nova-fffcaea176b785c9715a180f6a629708db16536c|48.7636071677|225|226|298|38|56|35|435.315585653|36
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cells/utils.py|nova-fffcaea176b785c9715a180f6a629708db16536c|79.3802554449|42|47|82|18|17|22|48.4320426609|9
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cert/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|0|0|14|0|1|14|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cert/manager.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|25|33|54|8|17|21|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cert/rpcapi.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|42|27|72|8|19|22|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cloudpipe/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|0|1|23|7|3|16|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/cloudpipe/pipelib.py|nova-fffcaea176b785c9715a180f6a629708db16536c|65.9361930175|131|90|158|4|22|23|68.532388597|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/common/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|0|0|14|0|1|14|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/common/memorycache.py|nova-fffcaea176b785c9715a180f6a629708db16536c|75.4035856506|41|44|65|2|19|22|87.5684250303|8
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/compute/__init__.py|nova-fffcaea176b785c9715a180f6a629708db16536c|98.6677139385|19|15|41|4|8|18|4.75488750216|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/compute/api.py|nova-fffcaea176b785c9715a180f6a629708db16536c|0.0|2131|1706|2627|179|515|317|6275.37480683|342
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/compute/cells_api.py|nova-fffcaea176b785c9715a180f6a629708db16536c|44.9179978875|424|390|571|59|96|88|261.593433864|35
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/compute/claims.py|nova-fffcaea176b785c9715a180f6a629708db16536c|62.6682595271|122|121|172|30|48|20|264.270110943|8
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/compute/instance_actions.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|17|18|39|7|5|15|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/compute/instance_types.py|nova-fffcaea176b785c9715a180f6a629708db16536c|53.6059774132|153|145|205|16|66|36|430.042112556|34
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/compute/manager.py|nova-fffcaea176b785c9715a180f6a629708db16536c|0.0|2551|1879|3139|235|539|353|5259.03772689|306
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/compute/power_state.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|20|14|53|7|9|26|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/compute/resource_tracker.py|nova-fffcaea176b785c9715a180f6a629708db16536c|42.9160946647|321|303|456|71|109|64|1272.6179248|53
