committer_id|bin_2months|num_files|total_code_added|total_code_change|total_code_del|sum_net_contr|avg_net_contr|mean_neighbr_files|mean_neighbr_code_add|mean_neighbr_code_change|mean_neighbr_code_del|mean_neighbr_avg_avg_netcontr|mean_neighbr_avg_sum_netcontr
125|16|2|1|5|0|6.0|6.0|8.0|4.0|20.0|0.0|6.0|24.0
165|9|5|6|5|8|7.0|2.33333333333|426.0|263.0|766.0|3957.0|-29.671875|-949.5
330|14|22|140|175|19|305.5|38.1875|191.0|2721.0|1131.0|949.0|64.9519230769|3377.5
344|11|2|0|5|43|-16.5|-8.25|42.0|52.0|548.0|58.0|51.9090909091|571.0
975|6|11|1003|182|21|1174.5|1174.5|46.5|2720.5|616.0|40.0|497.736111111|3316.5
261|15|38|637|269|0|906.0|82.3636363636|396.0|709.0|48326.0|97765.0|3.91025641026|152.5
716|13|8|11|17|2|27.0|27.0|21.0|125.5|235.5|3.0|46.75|359.5
1114|8|83|1207|708|605|1612.5|70.1086956522|100.0|235.0|1109.0|257.0|41.9137931034|1215.5
5|14|235|53|2710|5381|72.5|10.3571428571|63.0|541.0|597.5|987.5|82.9583333333|644.75
1442|2|482|14095|7654|1847|20825.5|140.712837838|300.0|1299.0|6010.0|1089.0|150.322222222|6764.5
5|16|121|665|595|1080|720.0|144.0|3705.5|4235.0|3265.0|4789.25|80.8913921189|5105.375
5|10|165|639|1067|652|1380.0|35.3846153846|621.0|7455.7|4827.7|1348.7|116.784915118|11609.05
1114|6|411|2753|7557|412|10104.0|97.1538461538|1477.0|9235.0|13363.0|5316.0|114.597701149|19940.0
5|12|42|96|665|295|613.5|30.675|192.375|2691.0|3821.875|4215.25|123.690292857|4405.25
5|13|238|1027|1819|2077|1807.5|100.416666667|211.5|983.7|3687.7|3521.7|107.002394152|2910.55
160|10|2|0|6|13|-0.5|-0.25|27.0|536.0|116.0|65.0|36.4411764706|619.5
1330|3|73|1021|1033|413|1847.5|153.958333333|802.0|12501.0|12853.0|4383.0|248.098923679|23162.5
1060|5|15|18|138|0|156.0|31.2|4.0|4.0|58.0|0.0|62.0|62.0
1001|3|29|0|265|15|257.5|32.1875|670.0|13218.0|13965.0|9753.0|142.990384615|22306.5
745|13|3|36|138|0|174.0|87.0|26.0|229.0|437.0|2.0|66.5|665.0
745|12|15|27|48|0|75.0|37.5|11.0|50.5|159.5|0.0|112.0|210.0
745|10|2|41|3|0|44.0|44.0|4.0|45.0|51.0|1.0|31.8333333333|95.5
49|5|41|216|613|1|828.5|48.7352941176|69.5|334.0|828.0|176.5|37.5288461538|1073.75
157|14|39|58|741|91|753.5|39.6578947368|37.0|399.0|176.0|111.0|30.5588235294|519.5
49|6|51|1444|542|11|1980.5|220.055555556|163.75|2797.75|1849.0|52.75|552.75462963|4620.375
441|2|323|3443|3733|14|7169.0|512.071428571|25.0|238.0|301.0|1.0|538.5|538.5
603|10|2|2|24|0|26.0|26.0|424.5|3099.0|6192.0|565.5|60.1400932401|9008.25
49|2|269|31|16|1364|-635.0|-90.7142857143|189.0|36.0|36.0|1328.0|-148.0|-592.0
51|6|238|650|3448|570|3813.0|63.55|370.0|69.0|2176.0|557.0|89.3863636364|1966.5
51|7|318|1184|5074|196|6160.0|68.4444444444|51.5|198.0|910.0|480.5|59.8148148148|867.75
203|10|37|60|183|246|120.0|13.3333333333|14.0|68.0|359.0|1.0|47.3888888889|426.5
441|3|6|78|321|0|399.0|133.0|670.0|13218.0|13965.0|9753.0|142.990384615|22306.5
55|14|172|499|948|196|1349.0|27.5306122449|46.5|592.0|5824.5|7262.5|130.07486631|2785.25
55|16|18|61|237|0|298.0|33.1111111111|177.0|868.0|2270.0|1134.0|61.0|2571.0
186|15|20|59|461|108|466.0|58.25|38.0|73.6666666667|1668.0|609.0|191.205128205|1437.16666667
51|9|419|1026|5652|578|6389.0|50.3070866142|255.0|313.0|2290.0|233.0|46.0462962963|2486.5
553|4|291|2402|4399|177|6712.5|268.5|386.0|4596.0|7679.0|903.5|78.803030303|11823.25
553|5|339|3206|5115|127|8257.5|250.227272727|362.0|4728.0|14889.0|15406.0|170.2|11914.0
45|7|8|80|82|0|162.0|81.0|52.0|177.0|815.0|127.0|46.425|928.5
553|3|268|892|3091|159|3903.5|125.919354839|339.5|6628.0|7054.0|4876.5|116.745192308|11243.75
45|9|221|4013|3281|602|6993.0|170.56097561|1130.0|7144.0|7024.0|74.0|235.516666667|14131.0
896|6|89|2064|201|0|2265.0|2265.0|593.75|8655.75|3832.5|1335.5|1999.41609195|11820.5
195|13|651|11096|4192|679|14948.5|109.113138686|445.5|2320.5|4893.0|2927.0|64.1212121212|5750.0
553|9|1130|7144|7024|74|14131.0|235.516666667|257.0|2797.0|2778.5|772.0|99.8753153911|5189.5
378|16|4|0|122|4|120.0|60.0|7.0|0.0|183.0|8.0|44.75|179.0
1460|5|6|0|81|199|-18.5|-9.25|3.0|0.0|39.0|98.0|-10.0|-10.0
1039|6|8|66|168|0|234.0|117.0|46.0|308.0|1085.0|1643.0|35.71875|571.5
195|11|42|52|548|58|571.0|51.9090909091|2.0|0.0|5.0|43.0|-8.25|-16.5
1481|3|2|13|25|0|38.0|38.0|1345.0|19842.0|21110.0|5726.0|260.883561644|38089.0
226|12|25|106|1763|0|1869.0|143.769230769|15.3333333333|7.66666666667|246.666666667|0.666666666667|35.1857142857|254.0
1010|3|742|3801|3524|10599|2025.5|56.2638888889|670.0|13218.0|13965.0|9753.0|142.990384615|22306.5
16|9|293|1581|2276|942|3386.0|29.1896551724|692.5|3728.5|4657.0|153.5|140.781481481|8308.75
16|8|640|519|2401|5829|5.5|0.0395683453237|1119.33333333|1307.0|2775.0|8779.66666667|22.8295537341|-307.833333333
258|13|6|6|30|0|36.0|12.0|2.0|2.0|10.0|0.0|12.0|12.0
16|5|944|11002|7139|4697|15792.5|62.9183266932|113.0|80.0|6569.0|156.0|172.921052632|6571.0
16|4|540|7430|2891|5277|7682.5|30.4861111111|338.333333333|3982.66666667|4190.33333333|2148.0|66.4093126386|7099.0
16|7|1353|14280|14316|4031|26580.5|111.215481172|282.2|1743.2|2766.4|1760.0|77.8020935961|3629.6
716|3|31|43|463|0|506.0|46.0|4.0|2.0|38.0|0.0|13.3333333333|40.0
10|16|14|223|69|0|292.0|73.0|260.333333333|1756.33333333|3777.33333333|490.0|72.4250693176|5288.66666667
10|13|5|2|70|0|72.0|36.0|323.0|2101.0|6131.5|1584.5|62.6851788949|7440.25
10|12|12|18|284|2|301.0|60.2|728.0|4832.0|14278.0|3824.5|199.941701999|17197.75
1418|6|4|0|16|0|16.0|4.0|1477.0|9235.0|13363.0|5316.0|114.597701149|19940.0
1001|2|136|936|1280|32|2200.0|220.0|251.0|7871.0|8760.0|11602.0|270.75|10830.0
136|15|29|51|234|186|192.0|17.4545454545|1.0|0.0|1.0|2.0|0.0|0.0
1029|8|863|6438|8166|554|14327.0|188.513157895|40.0|321.0|1030.0|15.0|149.277777778|1343.5
48|13|9|4|26|29|15.5|15.5|26.0|12.0|92.0|66.0|11.8333333333|71.0
423|13|16|22|34|4|54.0|27.0|17.0|120.0|227.0|2.0|46.75|346.0
1468|3|9|20|9|42|8.0|2.66666666667|670.0|13218.0|13965.0|9753.0|142.990384615|22306.5
720|8|100|235|1109|257|1215.5|41.9137931034|165.928571429|1111.14285714|3661.21428571|2205.78571429|99.0084773597|3669.46428571
99|12|20|968|420|18|1379.0|153.222222222|90.0|516.0|4544.0|4369.0|119.8125|2875.5
161|14|33|2855|41|51|2870.5|220.807692308|241.666666667|792.666666667|3360.0|4191.0|64.1203703704|2057.16666667
161|13|6|1|1316|0|1317.0|1317.0|72.0|12.0|15875.0|0.0|1323.91666667|15887.0
99|15|27|616|273|3|887.5|88.75|253.25|3551.25|4065.0|2740.75|88.7790550444|6245.875
99|16|6630|6846|3052|6922|6437.0|134.104166667|1902.4|1954.6|1751.8|2443.6|81.6137626263|2484.6
161|10|38|172|932|292|958.0|47.9|125.0|485.5|1182.0|91.5|116.393274854|1621.75
655|15|3|0|0|4|-2.0|-1.0|2.0|0.0|0.0|3.0|-1.5|-1.5
626|13|168|1549|1406|404|2753.0|101.962962963|202.333333333|863.0|6740.33333333|7257.33333333|111.720575318|3974.66666667
626|12|64|2006|1661|530|3402.0|425.25|42.0|96.0|665.0|295.0|30.675|613.5
626|11|716|12670|6171|839|18421.5|175.442857143|596.0|16063.0|3158.0|1465.0|177.4046875|18488.5
626|10|1213|29389|3472|1507|32107.5|258.931451613|920.25|10410.0|5895.25|2398.5|207.643042198|15106.0
