feature_id_id|bin_2months|committer_id|committer_neighbor_id|count
2608|10|595|844|4
3498|10|449|66|2
2608|12|29|844|8
1993|13|1|49|7
1368|14|30|161|33
1368|14|16|161|11
1368|14|30|16|3
7551|3|93|1330|14
7551|3|644|93|56
7551|3|644|1330|4
4600|8|344|16|13
2025|13|45|5|8
3821|10|335|16|12
3821|10|93|64|22
3821|10|335|64|2
3821|10|93|16|132
3821|10|16|64|6
3821|10|335|93|44
6832|4|31|6|2
6095|6|335|1171|10
7385|4|344|1442|17
7385|4|344|1010|17
7385|4|1442|1010|1
1415|14|30|60|2
5649|6|788|720|1
3487|10|835|40|8
3487|10|44|40|6
3487|10|835|44|12
4754|9|595|16|4
1113|13|627|285|2
3867|10|16|429|10
3867|10|335|16|2
3867|10|335|429|5
5217|7|720|1114|21
5217|6|720|1114|5
6214|6|6|401|1
3820|10|335|16|12
3820|10|93|56|24
3820|10|93|64|24
3820|10|335|64|2
3820|10|93|16|144
3820|10|335|56|2
3820|10|16|56|6
3820|10|16|64|6
3820|10|64|56|1
3820|10|335|93|48
8424|2|335|1344|38
8424|2|335|1636|5
8424|2|1344|1636|190
4453|9|191|36|5
4453|9|36|405|3
4453|9|191|405|15
1681|14|195|47|6
600|15|239|29|4
7314|4|356|720|2
2931|11|98|835|7
5975|5|720|1114|1
2439|10|93|16|1
3392|11|30|157|6
7192|4|1252|1484|3
6078|6|720|1114|12
4278|9|449|66|5
6202|5|161|720|28
4131|9|31|92|13
4131|9|31|450|1
4131|9|92|450|13
7919|3|525|720|3
1326|14|6|140|2
1326|14|92|140|2
1326|14|6|92|1
1823|13|520|29|5
177|16|30|6|1
4242|9|265|844|36
1318|14|29|56|3
634|16|30|29|2
2704|11|520|29|2
7967|3|1123|720|6
6414|3|1120|720|39
3901|10|742|246|6
3901|10|742|16|6
3901|10|246|16|1
4242|6|1140|1141|30
4521|8|344|16|10
4981|8|31|401|1
6686|5|449|720|3
2842|11|93|135|3
1784|12|128|637|14
1970|13|6|66|20
1970|13|31|66|20
1970|13|31|6|1
8121|3|750|720|3
2602|12|1|56|17
6206|5|234|186|16
6206|6|186|49|9
6206|6|234|49|3
6206|6|234|186|27
2037|13|626|45|8
2037|13|626|5|2
2037|13|45|5|4
1815|11|357|211|6
3865|10|335|16|6
3865|10|93|64|18
3865|10|335|64|2
3865|10|93|16|54
3865|10|16|64|3
3865|10|335|93|36
5793|6|31|720|30
77|16|72|70|90
4246|9|989|429|96
5752|7|31|720|42
5752|6|31|720|162
3909|10|28|390|3
989|15|594|49|1
3399|11|109|31|5
3399|11|446|31|5
3399|11|446|109|1
3844|10|16|429|66
5364|7|655|784|12
5374|7|93|1079|5
5374|7|93|201|1
5374|7|201|1079|5
143|16|6|161|4
143|16|6|55|18
143|16|161|55|18
6645|5|161|720|1
5143|7|147|720|9
5879|6|161|720|15
7287|4|6|1442|7
8080|3|1605|1562|8
1728|13|239|648|1
4051|10|68|1116|4
1761|13|28|198|1
2233|13|1|49|8
8106|3|1347|720|6
5016|8|36|383|4
7132|4|16|1442|6
1840|13|99|56|1
686|15|261|476|55
2860|11|36|761|1
2860|11|626|761|11
2860|11|36|626|11
660|16|36|463|2
2223|13|93|56|1
5627|7|93|1171|22
2132|12|254|115|7
2223|10|93|16|2
1275|13|66|49|3
1275|13|131|66|51
1275|13|131|49|17
8249|3|344|1442|9
5147|7|1252|710|11
5147|7|710|85|11
5147|7|1252|85|1
5147|7|85|720|1
5147|7|1252|720|1
5147|7|710|720|11
6764|4|869|720|8
937|15|573|572|9
3310|11|341|389|7
3988|10|761|5|12
3988|10|390|761|12
3988|10|390|5|1
6305|5|147|401|1
5483|6|720|1114|120
7733|3|595|720|6
5147|8|31|85|54
2646|12|449|66|35
5800|7|31|720|5
41|16|72|70|15
7901|3|344|1442|104
3898|10|28|390|26
3898|10|390|198|13
3898|10|28|198|2
1814|13|29|5|16
2285|12|29|761|5
2974|11|36|761|1
2974|11|626|761|12
2974|11|36|626|12
3795|10|6|422|21
448|16|93|10|4
5633|3|330|1219|38
6821|4|161|720|12
4451|9|36|56|1
4451|9|36|1024|22
4451|9|56|1024|22
1106|13|520|29|2
3144|10|976|44|6
5941|6|234|1124|12
7673|3|1442|57|5
8008|3|1123|720|10
5512|7|1252|720|28
1514|14|55|56|12
5564|7|1252|49|5
5211|8|31|85|8
3463|10|109|31|36
7403|4|344|1442|38
925|15|16|155|4
7|16|9|47|4
7|16|9|46|16
7|16|46|47|4
6813|4|161|720|12
4393|7|31|720|1
2202|13|6|177|2
2202|13|177|412|14
2202|13|6|412|7
5945|6|1120|720|2
4393|8|31|720|8
2270|13|663|56|6
6099|6|335|1171|12
7228|4|344|1442|11
5680|6|161|720|9
7136|4|16|1442|8
3926|10|626|51|2
7968|2|626|720|1
7968|2|1123|720|5
7968|2|626|1123|5
2397|12|128|637|12
2987|11|93|56|3
2608|11|520|595|6
2556|12|171|5|1
2556|12|463|5|1
2556|12|171|463|1
5858|6|595|51|85
3906|9|31|450|4
1700|13|642|727|45
7359|3|161|720|1
8261|3|344|1442|7
4133|10|1|161|2
6162|6|93|92|4
3593|10|93|595|2
7522|3|93|1330|6
2594|12|64|68|13
172|16|30|16|4
1431|14|195|16|4
1431|14|30|195|2
1431|14|30|16|2
857|15|93|129|16
4455|8|36|1024|20
4455|9|36|56|1
4455|9|36|1024|28
4455|9|56|1024|28
8499|2|6|720|18
7757|3|107|720|7
5526|7|85|720|1
2271|13|36|663|5
672|16|99|29|27
3798|10|626|595|2
7844|3|490|489|10
3830|10|16|5|3
3830|10|6|5|3
3830|10|6|147|1
3830|10|147|16|1
3830|10|6|16|1
3830|10|147|5|3
1163|14|128|537|4
151|16|56|50|8
4051|7|720|1114|6
6573|5|449|720|39
407|16|30|29|2
1163|13|637|638|33
5205|7|1281|1282|1
430|16|30|93|8
6997|4|135|720|2
7211|4|34|305|3
4083|9|31|450|4
7969|3|1123|720|6
4775|9|779|895|3
6145|5|1060|1177|5
2098|13|211|223|4
2098|13|211|5|1
2098|13|223|5|4
6321|3|553|720|10
4335|9|390|895|8
682|15|30|45|5
2184|12|29|51|1
4053|10|93|16|9
658|15|462|117|3
6377|5|147|1310|14
6377|5|147|720|2
6377|5|1310|720|7
1863|13|29|5|14
5975|6|720|1114|70
1212|13|136|545|12
1212|13|29|545|4
1212|13|136|29|3
5768|7|335|1171|5
5398|7|234|16|5
820|15|31|79|18
3986|10|98|835|10
7638|3|1442|479|11
2054|13|195|59|10
1004|14|29|51|3
3864|6|39|305|20
4297|8|495|720|9
6394|5|344|720|3
976|9|584|454|30
6087|6|720|1114|6
1060|15|30|66|5
2430|12|16|761|1
1551|13|80|60|5
1601|14|55|56|1
5106|7|596|720|2
6987|4|161|720|12
3845|9|335|429|20
6798|4|161|720|27
4051|6|720|1114|25
7006|4|31|720|2
8237|3|344|1442|8
7254|4|31|720|6
6766|4|161|720|18
4452|9|36|56|1
4452|9|36|1024|24
4452|9|56|1024|24
6594|4|1461|763|2
7021|4|553|720|1
7502|3|1435|720|24
7502|4|1435|720|2
1022|7|16|601|6
850|15|36|161|5
6578|5|1409|1460|2
7427|4|595|720|6
5625|7|161|720|5
3827|10|335|16|12
3827|10|93|64|23
3827|10|335|64|2
3827|10|93|16|138
3827|10|16|64|6
3827|10|335|93|46
7277|4|720|44|14
4997|8|36|517|2
5542|7|720|1114|20
7245|4|93|1010|9
7245|4|335|1010|9
7245|4|335|93|1
7937|3|335|403|1
2926|11|517|808|5
5571|6|31|720|30
8105|3|975|720|3
4087|9|31|92|15
4087|9|31|450|1
4087|9|92|450|15
1031|10|603|483|3
1031|10|68|603|1
1031|10|68|483|3
2364|13|36|663|1
5981|6|279|517|30
5981|6|279|720|10
5981|6|517|720|3
8067|3|1468|720|18
7078|4|1316|1325|8
6988|4|335|720|3
7429|4|663|57|24
7429|4|663|720|6
7429|4|57|720|4
